Name,Sector,Voltage Ratio (kV/kV),Executive Agency,Capacity (MW/MVA),Month Of Completion,Year Of Completion (FY)
"400 kV Kharghar substation (3x167 MVA, 400/220/33 kV ICT)",State,400/220/33,MSETCL,500.0,Mar-25,2024-25
"400 kV Padghe substation ( 3x167 MVA, 400/220/33 kV ICT )",State,400/220/33,MSETCL,500.0,Mar-25,2024-25
"400 kV GSS Jaisalmer-2 (Bhensara) (MVA, 3x500)",State,400/220/33,RVPNL,1500.0,Mar-25,2024-25
Kadalangudi 230/110 kV SS (enhancement from 100 MVA to 160 MVA),State,230/110,TANTRANSCO,60.0,Mar-25,2024-25
Cuddalore 230/110 kV S/S(Enhancement from 100 MVA to 160 MVA),State,230/110,TANTRANSCO,60.0,Mar-25,2024-25
220 kV SS Nidadavole at West Godavari Dist,State,220/132,APTRANSCO,60.0,Mar-25,2024-25
220 kV SS Narasaraopeta at Guntur District,State,220/132,APTRANSCO,60.0,Mar-25,2024-25
Augmentation of 400 kV SS Rachaganneri at Chittoor Dist,State,220/132,APTRANSCO,160.0,Mar-25,2024-25
400/220/132 kV GIS Bakhtiyarpur (1x160 MVA),State,220/132,BSPTCL,160.0,Mar-25,2024-25
220/132/33 kV GSS Thakurganj (1x160 MVA),State,220/132,BSPTCL,160.0,Mar-25,2024-25
400 kV Vadavi,State,220/66,GETCO,60.0,Mar-25,2024-25
220 kV Deodar (Vakha),State,220/66,GETCO,60.0,Mar-25,2024-25
220 kV Ghodasar,State,220/66,GETCO,160.0,Mar-25,2024-25
220 kV Jangral,State,220/66,GETCO,160.0,Mar-25,2024-25
220 kV Kukma,State,220/66,GETCO,100.0,Mar-25,2024-25
220 kV Mitha,State,220/66,GETCO,100.0,Mar-25,2024-25
220 kV Sarigam (Upgradation 66kV),State,220/66,GETCO,320.0,Mar-25,2024-25
220 kV Sisrana,State,220/66,GETCO,160.0,Mar-25,2024-25
220 kV Tappar,State,220/66,GETCO,160.0,Mar-25,2024-25
220 kV Sector-15-II Gurugram ( 2nd T/F),State,220/66,HVPNL,160.0,Mar-25,2024-25
220 kV Tepla,State,220/66,HVPNL,60.0,Mar-25,2024-25
220 kV Sector-32 Panchkula,State,220/66,HVPNL,100.0,Mar-25,2024-25
220 kV Harfali ( New),State,220/66,HVPNL,200.0,Mar-25,2024-25
"Hosakote (Ekarajapura) Providing Additional 1X100 MVA, 220/66 kV Transformer",State,220/66,KPTCL,100.0,Mar-25,2024-25
"Basarkod ( Establishing 2x100 MVA, 220/110 kV Sub-station )",State,220/110,KPTCL,100.0,Mar-25,2024-25
220 kV GIS Pathnamthitta,State,220/110,KSEB,100.0,Mar-25,2024-25
Malanpur 220 kV s/s Repl of 160 MVA by new 200 MVA X-mer,State,220/132,MPPTCL,40.0,Mar-25,2024-25
"220 kV Five star MIDC substation ( 1x50 MVA, 220/33kV T/F )",State,220/33,MSETCL,50.0,Mar-25,2024-25
"220 kV Colourchem substation ( 1 x(100-50) MVA, 220/22-22 kV)",State,220/22,MSETCL,50.0,Mar-25,2024-25
"220 kV Colourchem substation (1x(100-50) MVA, 220/22-22 kV)",State,220/22,MSETCL,50.0,Mar-25,2024-25
"220 kV Jambhul substation ( 1 x50 MVA, 220/22 kV T/F )",State,220/22,MSETCL,50.0,Mar-25,2024-25
"220 kV Tilwani substation ( 1X 100 MVA, 220/33 kV T/F)",State,220/22,MSETCL,100.0,Mar-25,2024-25
"220 kV Anand Nagar substation (1x(100-50) MVA, 220/22-22 kV)",State,220/22,MSETCL,50.0,Mar-25,2024-25
"400 kV Lonikand-I substation (1x50 MVA, 220/33 kV T/F )",State,220/33,MSETCL,50.0,Mar-25,2024-25
"220 kV Nagewadi substation ( 1X 50 MVA, 220/33 kV T/F )",State,220/33,MSETCL,50.0,Mar-25,2024-25
220 kV GIS S/s Baram,State,220/33,PTCUL,50.0,Mar-25,2024-25
220 kV GSS Aspur,State,220/132,RVPNL,100.0,Mar-25,2024-25
"220 kV GSS, Bansur",State,220/132,RVPNL,100.0,Mar-25,2024-25
"220 kV GSS, Bhiwadi",State,220/132,RVPNL,100.0,Mar-25,2024-25
220 kV GSS IG Nagar (160-100) =60,State,220/132,RVPNL,60.0,Mar-25,2024-25
"220 kV GSS, Ratangarh",State,220/132,RVPNL,100.0,Mar-25,2024-25
220 kV GSS Suratgarh (160-100) =60,State,220/132,RVPNL,60.0,Mar-25,2024-25
"220/132/33 kV S/S, Bowrampet",State,220/33,TSTRANSCO,50.0,Mar-25,2024-25
220 kV Mahabubabad S/S,State,220/132,TSTRANSCO,100.0,Mar-25,2024-25
"220 kV S/s Boner, Aligarh (Capacity Augmentation) (160-100)",State,220/132,UPPTCL,60.0,Mar-25,2024-25
"220 kV S/s Pratap Vihar, Ghaziabad (Capacity Augmentation) (160-100)",State,220/132,UPPTCL,60.0,Mar-25,2024-25
"220 kV S/s Faridpur, Bareilly (New T/F-II)",State,220/132,UPPTCL,100.0,Mar-25,2024-25
"Aug. of Khavda PS1 by 2X1500 MVA,765/400kV ICT (MVA:6000) (Late reported-commisioned in Feb 2025)",Private,765/400,MEGHA,3000.0,Mar-25,2024-25
"ACME Solar Holdings limited PS at Jaisalmer (4x315 MVA) (Late reported, commissioned in Oct- 24)",Private,400/33,ACME,1260.0,Mar-25,2024-25
Adani Green Energy Limited (PSS-13) at Khavda RE Park Gujarat (Late Reported Commissioned Jan-25),Private,400/33,ADANIGREEN,1320.0,Mar-25,2024-25
Adani Green Energy Limited (PSS-05) at Khavda RE Park Gujarat (Late Reported Comm. Apr-24),Private,400/33,ADANIGREEN,660.0,Mar-25,2024-25
Adani Green Energy Limited (PSS-04) at Khavda RE Park Gujarat (Late Reported Comm. Feb-25),Private,400/33,ADANIGREEN,660.0,Mar-25,2024-25
"Adani Renewable Energy Holding Four Limited at Badi Sid,Rajasthan (Late Reported Comm. Sep-24)",Private,400/33,AREHFL,660.0,Mar-25,2024-25
"RGESL Pooling S/S at Solapur, Maharashtra (Late Reported Commissioned Jan-25)",Private,400/33,Renew Green Energy,225.0,Mar-25,2024-25
Sarjan Realities Private Limited at (PSS-09) Khavda RE Park Gujarat ((Late Reported Comm. Nov-24),Private,400/33,Sarjan Realities,660.0,Mar-25,2024-25
"Adani Renewable Energy Holding Four Limited at Bhimsar, Rajasthan ((Late Reported Comm. Nov- 24)",Private,220/33,AREHFL,500.0,Mar-25,2024-25
RSJPL Pooling S/S at Jaisalmer,Private,220/33,Renew Surya Jyoti,210.0,Mar-25,2024-25
RSRPL Pooling S/S (Late Reported Commissioned May-24),Private,220/33,Renew Surya Roshni,200.0,Mar-25,2024-25
RSVPL Pooling S/S at Jaisalmer,Private,220/33,Renew Surya Vihaan,200.0,Mar-25,2024-25
M/s Sembcorp Green Infra Private Limiteds generation (PS) at Koppal (Late Reported Comm. Sep-24),Private,220/33,Sembcorp Green Infra,320.0,Mar-25,2024-25
"Serentica Renewables India Private Limited(SRIPL) PS at Bikaner,Rajasthan(Late Reported Apr-24)",Private,220/33,Serentica Renewables,550.0,Mar-25,2024-25
"Serentica Renewables India1 Private Limited (SRI1PL)PS atKoppal,Karnataka (Late Reported Comm.May-24)",Private,220/33,Serentica Renewables,300.0,Mar-25,2024-25
"Vena Energy Vidyuth Private Limited PS in Jumlapura Village,Koppal (Late Reported, Comm. Oct-24)",Private,220/132,Vena Energy Vidyuth,160.0,Mar-25,2024-25
"2x1500 MVA, 765/400 kV ICT-1 & 2 at Navsari (New) Substation under Project: Transmission Network Expansion in Gujarat to increase its ATC from ISTS Part B",Central,765/400,PGCIL,3000.0,Apr-25,2025-26
"1x1500 MVA, 765/400 kV ICT-1 at KPS 2
Substation under Project: Establishment of Khavda Pooling Station-2 (KPS2) in Khavda RE Park",Central,765/400,PGCIL,1500.0,Apr-25,2025-26
"1x1500 MVA, 765/400 kV ICT-1 at Fathehgarh- 3 (New Section) under Project: Transmission system for evacuation of power from REZ in Rajasthan (20GW) under Phase-III Part E1",Central,765/400,PGCIL,1500.0,Apr-25,2025-26
220 kV Racherlapadu SS in Nellore District (Aug.),State,220/132,APTRANSCO,100.0,Apr-25,2025-26
Gopalganj SS (Aug.),State,220/132,BSPTCL,200.0,Apr-25,2025-26
"220 kV GIS Transport Hub, Sector-8 IMT Manesar (T/F-II)",State,220/66,HVPNL,100.0,Apr-25,2025-26
220 kV Palla (Aug.) (160-100 MVA),State,220/66,HVPNL,60.0,Apr-25,2025-26
Yelburga SS   (2×100 MVA),State,220/110,KPTCL,200.0,Apr-25,2025-26
Julwaniya 400 kV S/s (Aug.),State,400/220,MPPTCL,500.0,Apr-25,2025-26
Nayagarh (Aug.) (40-20 MVA),State,220/33,OPTCL,20.0,Apr-25,2025-26
Patti (200 kV SS)(Aug.),State,220/66,PSTCL,100.0,Apr-25,2025-26
220 kV Mohali-1(Aug.)(160-100 MVA),State,220/66,PSTCL,60.0,Apr-25,2025-26
220 kV Humbran SS (Aug.) (160-100 MVA),State,220/66,PSTCL,60.0,Apr-25,2025-26
220 kV IG Nagar SS (Aug.) (160-100 MVA),State,220/132,RRVPNL,60.0,Apr-25,2025-26
Korattur SS (upgradation from 230 kV to 400 kV GIS) T/F-I,State,400/230,TANTRANSCO,500.0,Apr-25,2025-26
Korattur SS (upgradation from 230 kV to 400 kV GIS) (2X200 MVA),State,400/110,TANTRANSCO,400.0,Apr-25,2025-26
K.R.Thoppur SS (Aug.),State,400/230,TANTRANSCO,500.0,Apr-25,2025-26
Chandrayanagutta SS (Aug.),State,220/132,TGTRANSCO,160.0,Apr-25,2025-26
Sivarampally (Aug.)(160-100 MVA),State,220/132,TGTRANSCO,60.0,Apr-25,2025-26
Wanaparthy SS (Aug.),State,220/132,TGTRANSCO,160.0,Apr-25,2025-26
"220 kV Hafizpur S/s, Azamgarh Aug. (200-160 MVA)",State,220/132,UPPTCL,40.0,Apr-25,2025-26
Sangod GSS (2X500 MVA)(Intra-state TBCB),Private,400/220,Adani,1000.0,Apr-25,2025-26
Sangod GSS (Intra-state TBCB),Private,220/132,Adani,160.0,Apr-25,2025-26
"2x1500 MVA ICT (3rd & 4th) at KPS 1
(Augmentation of Khavda PS1 by 4X1500 MVA, 765/400 kV ICT)",Private,765/400,Megha Engineering (taken over by Adani),3000.0,Apr-25,2025-26
Sriperumbudur SS (Aug.) (500-315 MVA),State,400/230,TANTRANSCO,185.0,May-25,2025-26
Upgradation of Satgachia GIS (from 220 kV SS to 400 kV),State,400/220,WBSETCL,1000.0,May-25,2025-26
Mambakkam SS (T/F-I),State,230/110,TANTRANSCO,100.0,May-25,2025-26
220 kV Gorantla S/S in Ananthapur Dist,State,220/132,APTRANSCO,160.0,May-25,2025-26
Hajipur (T/F-I),State,220/132,BSPTCL,200.0,May-25,2025-26
220 kV Radhanpur (Aug.)(420-310 MVA),State,220/66,GETCO,110.0,May-25,2025-26
220 kV Talangpore (Aug.) (800-740 MVA),State,220/66,GETCO,60.0,May-25,2025-26
Basarkod-T/F-II,State,220/110,KPTCL,100.0,May-25,2025-26
Antharasanahalli (Aug.)(150-100 MVA),State,220/66,KPTCL,50.0,May-25,2025-26
220 kV Konsari SS (2 x 100 MVA ICTs) (by M/s Lloyds Metal & Energy Ltd.),State,220/132,MSETCL,200.0,May-25,2025-26
Nagbhid S/s (1 x 100 MVA ICT I),State,220/132,MSETCL,100.0,May-25,2025-26
Nagbhid S/s (1 x 25 MVA T/F),State,220/33,MSETCL,25.0,May-25,2025-26
Pardi substation (2 x100 MVA ICTs),State,220/132,MSETCL,200.0,May-25,2025-26
Mendhasal GSS (Aug.) (40-20 MVA),State,220/33,OPTCL,20.0,May-25,2025-26
Moga (Singhawala) (220 kV SS) (Aug.),State,220/66,PSTCL,100.0,May-25,2025-26
220 kV GSS Danta Ramgarh (Aug.),State,220/132,RVPNL,100.0,May-25,2025-26
220 kV GSS Gangapur City (Aug.) (160-100 MVA),State,220/132,RVPNL,60.0,May-25,2025-26
220 kV S/s Banda (Aug.),State,220/132,UPPTCL,160.0,May-25,2025-26
"220 kV S/s Bhelupur, Varanasi (Aug.)",State,220/33,UPPTCL,60.0,May-25,2025-26
400 kV S/s Jaunpur (Machhlishshar) (T/F-II),State,220/132,UPPTCL,160.0,May-25,2025-26
"1x1500 MVA, 765/400 kV ICT-1 at KPS3 Substation under Project: Establishment of Khavda Pooling Station-3 (KPS3) in Khavda RE Park (SPV Name: POWERGRID KPS3 TRANSMISSION LIMITED)",Central,765/400,PGCIL,1500.0,Jun-25,2025-26
"1x1500 MVA, 765/400 kV ICT-2 at Fathehgarh-3 (New Section) under Project: Transmission system for evacuation of power from REZ in Rajasthan (20GW) under Phase-III Part E1- Given to PRTL (POWERGRID Ramgarh Transmission Limited)",Central,765/400,PGCIL,1500.0,Jun-25,2025-26
"2x160 MVA, 220/132 kV ICT-1&2 at Namsai S/S under Project: System Strengthening Scheme for Eastern and North Eastern Regions (SPV Name: POWERGRID ER NER Transmission Limited) NERSS-XV",Central,220/132,PGCIL,320.0,Jun-25,2025-26
Dhanansu (400 kV SS) (Aug.),State,400/220,PSTCL,500.0,Jun-25,2025-26
Korattur SS (ICT-II) (upgradation from 230 kV to 400 kV GIS),State,400/230,TANTRANSCO,500.0,Jun-25,2025-26
Pampanurthanda SS in Ananthapur Dist (T/F-II),State,220/132,APTRANSCO,160.0,Jun-25,2025-26
Tajpur SS (2X160 MVA),State,220/132,BSPTCL,320.0,Jun-25,2025-26
Rajokheri SS (Aug.),State,220/66,HVPNL,160.0,Jun-25,2025-26
Sherpur SS (Upgradation from 66 kV to 220 kV),State,220/66,PSTCL,160.0,Jun-25,2025-26
Addl 100 MVA at 220 KV S/S Ikolaha,State,220/66,PSTCL,100.0,Jun-25,2025-26
Sherpur S/S (Aug.),State,220/66,PSTCL,160.0,Jun-25,2025-26
220 kV GSS Sheo (Upgradation),State,220/132,RVPNL,160.0,Jun-25,2025-26
Jurala SS (Aug.)(160-100 MVA),State,220/132,TSTRANSCO,60.0,Jun-25,2025-26
"2x1500  MVA,  765/400  kV ICT-2  & 3  at
KPS3  Substation  under Project: Establishment of  Khavda  Pooling Station-3 (KPS3)  in  Khavda  RE  Park  (SPV Name: POWERGRID KPS3  TRANSMISSION LIMITED)",Central,765/400,PGCIL,3000.0,Jul-25,2025-26
"1x1500  MVA,  765/400  kV ICT-2  at KPS2
Substation  under Project: Establishment of Khavda  Pooling Station-2  (KPS2)  in  Khavda RE  Park  (SPV:  POWERGRID KPS2 TRANSMISSION LIMITED)",Central,765/400,PGCIL,1500.0,Jul-25,2025-26
"1X1500MVA,  765/400  KV ICT-5th  at
Raigarh  Kotra  Section  B under Project: Western  Region  Expansion  Scheme-XXV (WRES-XXV)",Central,765/400,PGCIL,1500.0,Jul-25,2025-26
"1x500  MVA,  400/220  kV ICT-1  at
Fathehgarh-3  (New  Section)  under Project: Transmission  system  for evacuation  of power from  REZ in  Rajasthan  (20GW)  under Phase-III  Part E1-  Given  to  PRTL (POWERGRID Ramgarh  Transmission Limited)",Central,400/220,PGCIL,500.0,Jul-25,2025-26
"Chinturu  SS  in  East  Godavari  District  (2nd
T/F)",State,220/33,APTRANSCO,50.0,Jul-25,2025-26
"Sattenapalli  SS  in  Guntur Dist  (Aug.)  (500-
315  MVA)",State,400/220,APTRANSCO,185.0,Jul-25,2025-26
"220  kV SS  Renigunta  in  Chittoor Dist
(Aug.)(160-100  MVA)",State,220/132,APTRANSCO,60.0,Jul-25,2025-26
Rajim  SS  (T/F-II),State,220/132,CSPTCL,160.0,Jul-25,2025-26
Dhardehi  (Bilaspur)SS  (2X315  MVA),State,400/220,CSPTCL,630.0,Jul-25,2025-26
220  kV Anjar (Augmentation),State,220/66,GETCO,160.0,Jul-25,2025-26
"220  kV Pachgaon  Substation  (2  x50  MVA
T/F's)",State,220/33,MSETCL,100.0,Jul-25,2025-26
Turumunga  GSS  (20  MVA  T/F-II),State,220/33,OPTCL,20.0,Jul-25,2025-26
Rengali  GSS  (Aug.)  (40-20  MVA),State,220/33,OPTCL,20.0,Jul-25,2025-26
"Turumunga  GSS  (160  MVA  T/F-II)  (Late
reported,  charged  in  June-2025)",State,220/132,OPTCL,160.0,Jul-25,2025-26
Ambattur 3rd  Main  road  (Aug.),State,230/110,TANTRANSCO,100.0,Jul-25,2025-26
Hosur SS  (Aug.)(160-100  MVA),State,230/110,TANTRANSCO,60.0,Jul-25,2025-26
220  kV Husnabad  SS,State,220/132,TGTRANSCO,100.0,Jul-25,2025-26
220  kV Siddipet SS  (Aug.)(160-100  MVA),State,220/132,TGTRANSCO,60.0,Jul-25,2025-26
"Augmentation  of  transformation  capacity at KPS1  (GIS)  by  1X1500  MVA,  765/400  kV
ICT  (8th)  on  bus  section-I",Private,765/400,Adani,1500.0,Jul-25,2025-26
"1x1500  MVA,  765/400  kV 4th  ICT  at
Bikaner Substation  under Project: Transmission  Sysytem  for evacuation  of Power from  Rajasthan  Phase-IV Part -I Bikaner Complex  Part E",Central,765/400,PGCIL,1500.0,Aug-25,2025-26
"1x500  MVA,  400/220  kV (4th)  ICT  at
Nalagarh  Substation  under Project: Augmentation  of  Transformation  Capacity at 400/220  kV Nalagarh  substation  by 400/220  kV, 1x500  MVA  (4th)  ICT",Central,400/220,PGCIL,500.0,Aug-25,2025-26
"1x500  MVA,  400/220  kV (3rd)  ICT  at
Hassan  Substation  under Project: Augmentation  of  Transformation  Capacity at 400/220  kV   Hassan  Substation  in Karnataka  by 400/220  kV, 1x500  MVA  ICT (3rd)",Central,400/220,PGCIL,500.0,Aug-25,2025-26
"1x500  MVA,  400/220  kV ICT-2  at
Fathehgarh-3  (New  Section)  under Project: Transmission  system  for evacuation  of power from  REZ in  Rajasthan  (20GW)  under Phase-III  Part E1-  Given  to  PRTL (POWERGRID Ramgarh  Transmission Limited)",Central,400/220,PGCIL,500.0,Aug-25,2025-26
Khedamara  (Bhilai)  (Aug.),State,400/220,CSPTCL,315.0,Aug-25,2025-26
400  kV Kansari  (Aug.)(500-315  MVA),State,400/220,GETCO,185.0,Aug-25,2025-26
400  kV Charal  (Aug.),State,220/66,GETCO,160.0,Aug-25,2025-26
220  kV Samalkha  SS  (Aug.)  (160  -100  MVA),State,220/132,HVPNL,60.0,Aug-25,2025-26
220  kV Lula  Ahir SS  (Aug.),State,220/33,HVPNL,100.0,Aug-25,2025-26
"Establishing Salahalli  (Bannur)  S/s   (2X100
MVA)",State,220/110,KPTCL,200.0,Aug-25,2025-26
"Establishing 220/66  kV Mathikere  GIS
(2x150  MVA)",State,220/66,KPTCL,300.0,Aug-25,2025-26
New  Duburi  GSS  (Aug.),State,400/220/33,OPTCL,500.0,Aug-25,2025-26
Wazirabad  S/s  (1X160  MVA),State,220/66,PSTCL,160.0,Aug-25,2025-26
220  kV GSS  Karoli  (Upgradation),State,220/132,RRVPNL,160.0,Aug-25,2025-26
220  KV GSS  Phulera,State,220/132,RRVPNL,100.0,Aug-25,2025-26
"230/33  kV Ganesh  Nagar GIS  SS  (2x100
MVA)",State,230/33,TANTRANSCO,200.0,Aug-25,2025-26
220/132  kV Ammavaripeta  (T/F-II),State,220/132,TGTRANSCO,100.0,Aug-25,2025-26
"Raghunathpur 220  kV GIS  (Upg)  (1X160
MVA  & 1X150  MVA)",State,220/132,WBSETCL,310.0,Aug-25,2025-26
"1x1500  MVA,  765/400  kV ICT-3  at
Fathehgarh-3  (New  Section)  under Project: Transmission  system  for evacuation  of power from  REZ in  Rajasthan  (20GW)  under Phase-III  Part E1-  Given  to  PRTL (POWERGRID Ramgarh  Transmission Limited)",Central,765/400,PGCIL,1500.0,Sep-25,2025-26
"2x1500  MVA,  765/400  kV ICT-1  & 2  at
Ahmedabad  New  SS  under Project: Transmission  scheme  for evacuation  of
4.5GW RE  injection  at Khavda  PS  under Phase  II-  Part C (POWERGRID Khavda  II  C Transmission  Limited)",Central,765/400,PGCIL,3000.0,Sep-25,2025-26
"220  kV SS  Bommuru  in  East  Godavari  Dist.
(Aug.)  (160-100  MVA)",State,220/132,APTRANSCO,60.0,Sep-25,2025-26
"220  kV SS  Pydibhimavaram  in  Srikakulam
Dist.  (Aug.)",State,220/132,APTRANSCO,160.0,Sep-25,2025-26
Urla  (Raipur),State,220/132,CSPTCL,160.0,Sep-25,2025-26
220  kV Agthala  (Augmentation),State,220/66,GETCO,160.0,Sep-25,2025-26
Ukai,State,400/220,GETCO,500.0,Sep-25,2025-26
220  kV Ramana  Ramani  SS  (2×160  MVA),State,220/132,HVPNL,320.0,Sep-25,2025-26
220  kV Ramana  Ramani  SS  (2×100  MVA),State,220/33,HVPNL,200.0,Sep-25,2025-26
"Pandhurna  220  kV S/s  (Aug.)  (200-160
MVA)",State,220/132,MPPTCL,40.0,Sep-25,2025-26
"220  kV S/s  Gajraula,  Amroha  T/F-III
(Aug.)",State,220/132,UPPTCL,160.0,Sep-25,2025-26
"220kV S/s  Sikandra  Rao,  Hathras   T/F-III
(Aug.)",State,220/132,UPPTCL,160.0,Sep-25,2025-26
Falakata  220  kV GIS,State,220/132,WBSETCL,320.0,Sep-25,2025-26
"3x1500  MVA,  765/400  kV ICT-1,2  and  3  at
Narela  GIS  under Project: Transmission system  strengthening scheme  for evacuation  of  power from  solar energy zones  in  Rajasthan  (8.1  GW)  under phase- II-  Part G (SPV Name:  POWERGRID Narela Transmission  Limited)",Central,765/400,PGCIL,4500.0,Oct-25,2025-26
"Replacement of  315  MVA  ICT-3  with  500 MVA  ICT  at Bawana  (DTL)  Substation under Project: Replacement of  400/220  kV
,  315  MVA  ICT-3  with  400/220  kV,500
MVA  ICT  at 400/220/66  kV Bawana  (DTL) Substation",Central,400/220,PGCIL,185.0,Oct-25,2025-26
"1X500  MVA,  400/220  kV ICT-5  at Kurnool- III  under Project: Transmission  System  for Kurnool  Wind  Energy Zone/ Solar Energy Zone  (AP)  –  Part-A  & Part-B",Central,400/220,PGCIL,500.0,Oct-25,2025-26
Racherla  SS  in  chittoor dist.,State,220/132,APTRANSCO,100.0,Oct-25,2025-26
220  kV Dhansura(Augmentation),State,220/66,GETCO,110.0,Oct-25,2025-26
400  kV Hadala(Augmentation),State,220/66,GETCO,110.0,Oct-25,2025-26
220  kV Kaul  (Kaithal),State,220/132,HVPNL,160.0,Oct-25,2025-26
Nagarbhavi  SS  (2x150  MVA),State,220/66,KPTCL,300.0,Oct-25,2025-26
White  field  (Hagadur)  GIS:  (2X150  MVA),State,220/66,KPTCL,300.0,Oct-25,2025-26
"Dudda  SS  (HassanTaluk,  Hassan  distict):
(220/66  kV, 100  MVA  T/F)",State,220/66,KPTCL,100.0,Oct-25,2025-26
"Dudda  SS  (HassanTaluk,  Hassan  distict):
(220/110  kV, 100  MVA  T/F)",State,220/110,KPTCL,100.0,Oct-25,2025-26
220  kV Chakan  S/s  (1x50  MVA  T/F),State,220/ 22,MSETCL,50.0,Oct-25,2025-26
"220  kV S/S  Dhandari  Kalan-2  (Aug.)  (160-
100  MVA)",State,220/66,PSTCL,60.0,Oct-25,2025-26
"220  kV Budhlada  SS  (1X100  MVA
T/F)(Upgraded  from  66kV to  220  kV)",State,220/66,PSTCL,100.0,Oct-25,2025-26
220  kV GSS  Rayla  (Upg.),State,220/132,RRVPNL,160.0,Oct-25,2025-26
"Kalisindh  TPS  (RVUN)  Aug. (500-315  MVA)
(Late  reported,  commissioned  in September-2025)",State,400/220,RRVPNL,185.0,Oct-25,2025-26
220  kV GSS  Dechu  (Aug.)  (200-100  MVA),State,220/132,RRVPNL,100.0,Oct-25,2025-26
"220  kV S/s  Harduaganj,  Aligarh
(Capacity Augmentation  T/F-II)",State,220/132,UPPTCL,160.0,Oct-25,2025-26
Hajipur (T/F-II  -200  MVA),State,220/132,BSPTCL,200.0,Oct-25,2025-26
Hazira S/S,Private,400/220,"Arcelor Mittal
Nippon  Steel (formerly Essar)",500.0,Oct-25,2025-26
"1x1500  MVA,  765/400  kV ICT-3  at KPS  2
Substation  under Project: Establishment of Khavda  Pooling Station-2  (KPS2)  in  Khavda RE  Park  (SPV:  POWERGRID KPS2 TRANSMISSION LIMITED)",Central,765/400,PGCIL,1500.0,Nov-25,2025-26
"1X1500  MVA,  765/400  KV ICT-7th  at
Raigarh  Kotra  (Section  B)  under Project: Western  Region  Expansion  Scheme-XXV (WRES-XXV)",Central,765/400,PGCIL,1500.0,Nov-25,2025-26
"1x1500  MVA,  765/400  kV ICT-3  at
Ahmedabad  New  SS  under Project: Transmission  scheme  for evacuation  of
4.5GW RE  injection  at Khavda  PS  under Phase  II-  Part C (POWERGRID Khavda  II  C Transmission  Limited)",Central,765/400,PGCIL,1500.0,Nov-25,2025-26
Bobbili  SS  Growth  Center (Aug.),State,220/132,APTRANSCO,160.0,Nov-25,2025-26
220  kV Keshod  (Augmentation),State,220/66,GETCO,60.0,Nov-25,2025-26
220  kV Thavar(Augmentation),State,220/66,GETCO,60.0,Nov-25,2025-26
220  kV Sartanpar(Augmentation),State,220/66,GETCO,160.0,Nov-25,2025-26
220  kV Jind  (Aug.),State,220/132,HVPNL,60.0,Nov-25,2025-26
220  kV Badhana  (Aug.),State,220/132,HVPNL,60.0,Nov-25,2025-26
MRS  Shivamogga  (Aug.)(3rd  100  MVA),State,220/110,KPTCL,100.0,Nov-25,2025-26
220  kV Mankoli  GIS  S/s  (2x50  MVA),State,220/ 22,MSETCL,100.0,Nov-25,2025-26
"400  kV Nagothane  substation  (Aug.)(3x167
MVA)",State,400/220,MSETCL,500.0,Nov-25,2025-26
220  kV Gadchiroli  substation  (Aug.)(100-50) MVA,State,220/132,MSETCL,50.0,Nov-25,2025-26
Bidanasi  SS,State,220/132,OPTCL,160.0,Nov-25,2025-26
"Legship  Pool  (under comprehensive
scheme)",State,220/132,"PD, Sikkim",200.0,Nov-25,2025-26
220  kV S/S  Nabha  (Aug.)(160-100  MVA),State,220/66,PSTCL,60.0,Nov-25,2025-26
220  kV GSS  Sanchore  (Aug.)  (200-100  MVA),State,220/132,RRVPNL,100.0,Nov-25,2025-26
220  kV Janagaon  (Aug.)(160-100  MVA),State,220/132,TGTRANSCO,60.0,Nov-25,2025-26
"220/132  kV S/s  Amaria
(Capacity Augmentation  T/F-I-  160-100)",State,220/132,UPPTCL,60.0,Nov-25,2025-26
"400  kV S/s  Unnao  (Capacity Augmentation
T/F-II-  500-315  MVA)",State,400/220,UPPTCL,185.0,Nov-25,2025-26
"Metro  Depot S/s  (Greater.  Noida)  (T/F-I  &
II)_Intra  state  TBCB_UP",Private,400/220,Tata  Power,1000.0,Nov-25,2025-26
"1x1500  MVA,  765/400  kV ICT-4  at KPS  2
Substation  under Project: Establishment of Khavda  Pooling Station-2  (KPS2)  in  Khavda RE  Park",Central,765/400,PGCIL,1500.0,Dec-25,2025-26
"1x500  MVA,  400/220  kV ICT-3  at
Fathehgarh-3  (New  Section)  under Project: Transmission  system  for evacuation  of power from  REZ in  Rajasthan  (20GW)  under Phase-III  Part E1-  Given  to  PRTL",Central,400/220,PGCIL,500.0,Dec-25,2025-26
Ponda  SS  (Aug.)  (ICT-II),State,220/33,GED,63.0,Dec-25,2025-26
220  kV Savdas  na  Muvada  (Augmentation),State,220/66,GETCO,100.0,Dec-25,2025-26
400kV Kalawad  GIS  (2X500  MVA),State,400/220,GETCO,1000.0,Dec-25,2025-26
220  kV Botad  (Augmentation),State,220/66,GETCO,60.0,Dec-25,2025-26
"220  kV GIS  at Pocket A,  IMT  Kharkhoda
Sonipat",State,220/33,HVPNL,100.0,Dec-25,2025-26
220  kV Sec-15  (II)  Gurugram  (Aug.),State,220/66,HVPNL,100.0,Dec-25,2025-26
220  kV Sec-20  Gurugram  (Aug.),State,220/66,HVPNL,60.0,Dec-25,2025-26
220  kV Samain  (Aug.),State,220/132,HVPNL,100.0,Dec-25,2025-26
